ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""636.936""","=""2.3e+09""","=""1.8e-01""",D+,"=""3.730646""","=""23.19636""","=""3d5.(6S).4s""","=""7S""","=""3""","=""3d4.(5D).4s.4p.(3P*)""","=""7P*""","=""4""",7,9,,"=""u44""","=""L21555""",
"=""637.744""","=""2.3e+09""","=""1.4e-01""",D+,"=""3.730646""","=""23.17170""","=""3d5.(6S).4s""","=""7S""","=""3""","=""3d4.(5D).4s.4p.(3P*)""","=""7P*""","=""3""",7,7,,"=""u44""","=""L21555""",
"=""638.359""","=""2.3e+09""","=""1.0e-01""",D+,"=""3.730646""","=""23.15298""","=""3d5.(6S).4s""","=""7S""","=""3""","=""3d4.(5D).4s.4p.(3P*)""","=""7P*""","=""2""",7,5,,"=""u44""","=""L21555""",
"=""679.1290""","=""2.3e+08""","=""1.3e-02""",D,"=""2.486052""","=""20.742408""","=""3d6""","=""3H""","=""6""","=""3d5.(b 2G).4p""","=""3G*""","=""5""",13,11,,"=""T6105""","=""L11223""",
"=""680.7039""","=""1.9e+08""","=""1.1e-02""",D,"=""2.516952""","=""20.731069""","=""3d6""","=""3H""","=""5""","=""3d5.(b 2G).4p""","=""3G*""","=""4""",11,9,,"=""T6105""","=""L11223""",
"=""682.1102""","=""1.1e+08""","=""6.e-03""",D,"=""2.539410""","=""20.715974""","=""3d6""","=""3H""","=""4""","=""3d5.(b 2G).4p""","=""3G*""","=""3""",9,7,,"=""T6105""","=""L11223""",
"=""684.2923""","=""7.e+07""","=""5.e-03""",D,"=""2.486052""","=""20.604654""","=""3d6""","=""3H""","=""6""","=""3d5.(b 2G).4p""","=""3H*""","=""6""",13,13,,"=""T6105""","=""L11223""",
"=""684.8555""","=""1.4e+08""","=""7.e-03""",D,"=""2.539410""","=""20.643111""","=""3d6""","=""3H""","=""4""","=""3d5.(b 2G).4p""","=""3F*""","=""3""",9,7,,"=""T6105""","=""L11223""",
"=""685.2988""","=""3.9e+07""","=""2.3e-03""",D,"=""2.516952""","=""20.608944""","=""3d6""","=""3H""","=""5""","=""3d5.(b 2G).4p""","=""3F*""","=""4""",11,9,,"=""T6105""","=""L11223""",
"=""686.6281""","=""8.e+07""","=""6.e-03""",D,"=""2.516952""","=""20.573917""","=""3d6""","=""3H""","=""5""","=""3d5.(b 2G).4p""","=""3H*""","=""5""",11,11,,"=""T6105""","=""L11223""",
"=""688.5263""","=""9.e+07""","=""6.e-03""",D,"=""2.539410""","=""20.546594""","=""3d6""","=""3H""","=""4""","=""3d5.(b 2G).4p""","=""3H*""","=""4""",9,9,,"=""T6105""","=""L11223""",
"=""700.5727""","=""1.7e+08""","=""1.3e-02""",D,"=""3.044858""","=""20.742408""","=""3d6""","=""3G""","=""5""","=""3d5.(b 2G).4p""","=""3G*""","=""5""",11,11,,"=""T6105""","=""L11223""",
