ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""321.3239""","=""2.3e+07""","=""1.0e-03""",E,"=""2.98250""","=""41.56793""","=""3d4""","=""3P2""","=""0""","=""3d3.(2D1).4p""","=""3P*""","=""1""",1,3,,"=""T6653c93""","=""L3625""",
"=""324.6322""","=""8.e+07""","=""1.2e-03""",E,"=""3.28164""","=""41.47385""","=""3d4""","=""3P2""","=""2""","=""3d3.(2D1).4p""","=""3P*""","=""2""",5,5,,"=""T6653c93""","=""L3625""",
"=""325.0269""","=""7.e+06""","=""8.e-05""",E,"=""3.32802""","=""41.47385""","=""3d4""","=""3F2""","=""3""","=""3d3.(2D1).4p""","=""3P*""","=""2""",7,5,,"=""T6653c93""","=""L3625""",
"=""329.5126""","=""8.e+07""","=""3.8e-03""",E,"=""2.98250""","=""40.60904""","=""3d4""","=""3P2""","=""0""","=""3d3.(2D1).4p""","=""3D*""","=""1""",1,3,,"=""T6653c93""","=""L3625""",
"=""330.4333""","=""1.1e+08""","=""2.9e-03""",D,"=""3.09623""","=""40.61793""","=""3d4""","=""3P2""","=""1""","=""3d3.(2D1).4p""","=""3D*""","=""2""",3,5,,"=""T6653c93""","=""L3625""",
"=""331.5785""","=""2.6e+08""","=""3.5e-03""",C,"=""3.77283""","=""41.16493""","=""3d4""","=""3G""","=""5""","=""3d3.(2D1).4p""","=""3F*""","=""4""",11,9,,"=""T6653c93""","=""L3625""",
"=""331.6566""","=""2.3e+08""","=""2.7e-03""",C,"=""3.69685""","=""41.08015""","=""3d4""","=""3G""","=""3""","=""3d3.(2D1).4p""","=""3F*""","=""2""",7,5,,"=""T6653c93""","=""L3625""",
"=""331.7230""","=""1.3e+08""","=""3.1e-03""",D,"=""3.28164""","=""40.65747""","=""3d4""","=""3P2""","=""2""","=""3d3.(2D1).4p""","=""3D*""","=""3""",5,7,,"=""T6653c93""","=""L3625""",
"=""331.9832""","=""2.5e+08""","=""3.2e-03""",C,"=""3.73778""","=""41.08431""","=""3d4""","=""3G""","=""4""","=""3d3.(2D1).4p""","=""3F*""","=""3""",9,7,,"=""T6653c93""","=""L3625""",
"=""332.1351""","=""5.e+07""","=""8.e-04""",E,"=""3.32802""","=""40.65747""","=""3d4""","=""3F2""","=""3""","=""3d3.(2D1).4p""","=""3D*""","=""3""",7,7,,"=""T6653c93""","=""L3625""",
"=""332.2801""","=""4.6e+08""","=""5.9e-03""",C,"=""3.34431""","=""40.65747""","=""3d4""","=""3F2""","=""4""","=""3d3.(2D1).4p""","=""3D*""","=""3""",9,7,,"=""T6653c93""","=""L3625""",
"=""332.4763""","=""5.4e+08""","=""5.3e-03""",C,"=""3.31790""","=""40.60904""","=""3d4""","=""3F2""","=""2""","=""3d3.(2D1).4p""","=""3D*""","=""1""",5,3,,"=""T6653c93""","=""L3625""",
"=""332.4873""","=""4.5e+08""","=""5.3e-03""",C+,"=""3.32802""","=""40.61793""","=""3d4""","=""3F2""","=""3""","=""3d3.(2D1).4p""","=""3D*""","=""2""",7,5,,"=""T6653c93""","=""L3625""",
"=""333.2986""","=""4.e+07""","=""5.e-04""",E,"=""3.69685""","=""40.89599""","=""3d4""","=""3G""","=""3""","=""3d3.(2D1).4p""","=""1D*""","=""2""",7,5,,"=""T6653c93""","=""L3625""",
"=""334.0442""","=""3.2e+08""","=""4.2e-03""",C+,"=""4.53604""","=""41.65215""","=""3d4""","=""1G2""","=""4""","=""3d3.(2D1).4p""","=""1F*""","=""3""",9,7,,"=""T6653c93""","=""L3625""",
"=""334.7644""","=""6.e+08""","=""3.2e-03""",D,"=""4.57814""","=""41.61439""","=""3d4""","=""3D""","=""1""","=""3d3.(2D1).4p""","=""3P*""","=""0""",3,1,,"=""T6653c93""","=""L3625""",
"=""334.9975""","=""4.3e+08""","=""4.3e-03""",C,"=""4.55744""","=""41.56793""","=""3d4""","=""3D""","=""2""","=""3d3.(2D1).4p""","=""3P*""","=""1""",5,3,,"=""T6653c93""","=""L3625""",
"=""335.1850""","=""1.4e+08""","=""2.3e-03""",D,"=""4.57814""","=""41.56793""","=""3d4""","=""3D""","=""1""","=""3d3.(2D1).4p""","=""3P*""","=""1""",3,3,,"=""T6653c93""","=""L3625""",
"=""335.7066""","=""5.0e+08""","=""6.0e-03""",C,"=""4.54154""","=""41.47385""","=""3d4""","=""3D""","=""3""","=""3d3.(2D1).4p""","=""3P*""","=""2""",7,5,,"=""T6653c93""","=""L3625""",
